,Unnamed: 0,date,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
27325,27325,0.469846,4,0.276596,0.164705,0.519637,0.011417,0.657949,0.265789,0
28731,28731,0.474227,5,0.574468,0.024919,0.191907,0.001656,0.090886,0.819737,0
8450,8450,0.023141,3,0.042553,0.06527,0.250074,0.003467,0.422915,0.414912,0
36659,36659,0.889385,2,0.744681,0.148193,0.670039,0.009981,0.533402,0.563596,1
781,781,0.000708,4,0.276596,0.124204,0.475454,0.003467,0.422915,0.414912,1
13013,13013,0.428963,7,0.106383,0.055242,0.084647,0.003467,0.422915,0.414912,0
3330,3330,0.009203,1,0.382979,0.045635,0.741892,0.003467,0.422915,0.414912,0
18851,18851,0.446662,2,0.744681,0.183409,0.785034,0.012154,0.757639,0.517105,1
14838,14838,0.43383,3,0.12766,0.047886,0.141476,0.003467,0.422915,0.414912,0
30462,30462,0.868236,6,0.638298,0.030833,0.702023,0.001963,0.538322,0.674123,1
40358,40358,0.898943,2,0.808511,0.095803,0.731181,0.0063,0.646038,0.464474,1
22823,22823,0.456484,1,0.489362,0.035577,0.442725,0.002368,0.373382,0.539035,1
18241,18241,0.443078,4,0.021277,0.058394,0.475751,0.003916,0.401088,0.541228,1
32141,32141,0.876023,6,0.617021,0.027171,0.546415,0.001703,0.472812,0.757895,0
1424,1424,0.004336,3,0.680851,0.045244,0.490181,0.003467,0.422915,0.414912,0
43129,43129,0.907659,4,0.531915,0.047706,0.478578,0.003245,0.548421,0.385965,0
10721,10721,0.03137,1,0.361702,0.067371,0.553704,0.003467,0.422915,0.414912,1
22116,22116,0.455821,7,0.765957,0.041311,0.704999,0.0028,0.496893,0.557456,0
11118,11118,0.031724,2,0.638298,0.115528,0.520381,0.003467,0.422915,0.414912,1
19417,19417,0.447193,7,0.531915,0.042752,0.42651,0.002887,0.379078,0.630263,0
5572,5572,0.014336,6,0.085106,0.040591,0.351384,0.003467,0.422915,0.414912,0
19074,19074,0.446883,7,0.382979,0.043653,0.521125,0.002966,0.37856,0.598246,1
23523,23523,0.460201,2,0.06383,0.02588,0.250223,0.00172,0.357069,0.513158,0
2170,2170,0.005044,5,0.212766,0.075958,0.229694,0.003467,0.422915,0.414912,1
27122,27122,0.469669,7,0.042553,0.034466,0.245463,0.002322,0.336613,0.492105,0
39462,39462,0.898146,5,0.12766,0.047346,0.301547,0.003029,0.422061,0.716228,0
19408,19408,0.447193,7,0.340426,0.042752,0.484975,0.002844,0.358364,0.638596,0
5615,5615,0.014336,6,1.0,0.067071,0.411931,0.003467,0.422915,0.414912,0
5129,5129,0.013893,3,0.87234,0.088177,0.699197,0.003467,0.422915,0.414912,1
1503,1503,0.004425,5,0.319149,0.050168,0.591342,0.003467,0.422915,0.414912,0
1943,1943,0.004823,7,0.489362,0.062598,0.514877,0.003467,0.422915,0.414912,0
6285,6285,0.018008,6,0.957447,0.069713,0.365814,0.003467,0.422915,0.414912,0
5777,5777,0.017566,3,0.361702,0.080011,0.56501,0.003467,0.422915,0.414912,0
33399,33399,0.880227,4,0.829787,0.034826,0.482594,0.002439,0.514759,0.199561,0
7190,7190,0.021946,4,0.808511,0.057794,0.494347,0.003467,0.422915,0.414912,1
44377,44377,0.911862,2,0.531915,0.048367,0.520976,0.003251,0.549974,0.419298,1
42133,42133,0.903633,4,0.787234,0.07851,0.577804,0.005293,0.511911,0.433333,1
41106,41106,0.902703,4,0.382979,0.085925,0.559655,0.005715,0.647074,0.474123,1
